Trainer,Multi?,Route,Combined Name,Pokemon 1,Move 1,Move 2,Move 3,Move 4,Pokemon 2,Move 1,Move 2,Move 3,Move 4,Pokemon 3,Move 1,Move 2,Move 3,Move 4,Pokemon 4,Move 1,Move 2,Move 3,Move 4,Pokemon 5,Move 1,Move 2,Move 3,Move 4,Pokemon 6,Move 1,Move 2,Move 3,Move 4,Double?,P1 Item,P1 Nature,P1 IV,P1 Lvl,P2 Item,P2 Nature,P2 IV,P2 Lvl,P3 Item,P3 Nature,P3 IV,P3 Lvl,P4 Item,P4 Nature,P4 IV,P4 Lvl,P5 Item,P5 Nature,P5 IV,P5 Lvl,P6 Item,P6 Nature,P6 IV,P6 Lvl
Team Magma Grunt #6,FALSE,Route 114,Team Magma Grunt #6 - Route 114,Jumpluff,Sleep Powder,Stun Spore,Giga Drain,Aerial Ace,Sudowoodo,Ancientpower,Earthquake,Double-Edge,Explosion,Xatu,Psychic,Drill Peck,Giga Drain,Confuse Ray,Chansey,Softboiled,Counter,Toxic,Seismic Toss,,,,,,,,,,,FALSE,Focus Band,Jolly,31,35,Scope Lens,Adamant,31,35,King'S Rock,Careful,31,34,Leftovers,Calm,31,34,,,,,,,,
Team Magma Grunt #7,FALSE,Route 114,Team Magma Grunt #7 - Route 114,Smeargle,Spore,Spider Web,Substitute,Baton Pass,Manectric,Thunderbolt,Flamethrower,Crunch,Thunder Wave,Arcanine,Flamethrower,Body Slam,Crunch,Morning Sun,Granbull,Attract,Earthquake,Body Slam,Shadow Ball,,,,,,,,,,,FALSE,Leftovers,Naughty,31,36,King'S Rock,Hardy,31,35,Leftovers,Brave,31,35,Brightpowder,Hardy,31,35,,,,,,,,
Team Magma Grunt #8,FALSE,Route 114,Team Magma Grunt #8 - Route 114,Steelix,Earthquake,Toxic,Protect,Iron Tail,Misdreavus,Will-O-Wisp,Shadow Ball,Psychic,Thunderbolt,Fearow,Drill Peck,Drill Run,Tri Attack,Quick Attack,Chimecho,Hypnosis,Recover,Dream Eater,Nightmare,,,,,,,,,,,FALSE,Focus Band,Hardy,31,36,Leftovers,Hardy,31,36,Silk Scarf,Lonely,31,36,Leftovers,Careful,31,36,,,,,,,,
Team Magma Grunt #9,FALSE,Route 114,Team Magma Grunt #9 - Route 114,Nidoking,Drill Run,Sludge Bomb,Flamethrower,Megahorn,Scizor,Signal Beam,Flash Cannon,Superpower,Air Slash,Lunatone,Hypnosis,Psychic,Ice Beam,Explosion,Smeargle,Spore,Belly Drum,Extremespeed,Explosion,,,,,,,,,,,FALSE,Scope Lens,Sassy,31,35,Quick Claw,Hardy,31,35,Scope Lens,Hardy,31,35,Focus Band,Hasty,31,36,,,,,,,,
Black Belt Nob,FALSE,Route 115,Black Belt Nob - Route 115,Hariyama,Fake Out,Brick Break,Headbutt,Rock Slide,Lairon,Double-Edge,Brick Break,Head Smash,Iron Tail,Poliwrath,Brick Break,Surf,Rock Slide,Body Slam,,,,,,,,,,,,,,,,FALSE,Black Belt,Naughty,31,35,Black Belt,Careful,31,35,Black Belt,Impish,31,35,,,,,,,,,,,,
Collector Hector,FALSE,Route 115,Collector Hector - Route 115,Marshtomp,Mud Shot,Hydro Pump,Sludge Bomb,Ice Beam,Combusken,Flamethrower,Brick Break,Thunderpunch,Quick Attack,Grovyle,Leaf Blade,Dragon Claw,Crunch,Brick Break,,,,,,,,,,,,,,,,FALSE,Starf Berry,Adamant,31,35,Starf Berry,Hardy,31,35,Starf Berry,Gentle,31,35,,,,,,,,,,,,
Psychic Marlene,FALSE,Route 115,Psychic Marlene - Route 115,Grumpig,Extrasensory,Signal Beam,Fire Punch,,Medicham,Meditate,Hi Jump Kick,Rock Tomb,,Hypno,Meditate,Brick Break,Shadow Ball,,,,,,,,,,,,,,,,,FALSE,,Careful,31,35,,Relaxed,31,35,,Hardy,31,35,,,,,,,,,,,,
Team Magma Grunt #1,FALSE,Mt. Chimney,Team Magma Grunt #1 - Mt. Chimney,Banette,Will-O-Wisp,Shadow Ball,Shadow Sneak,HP Fight,Golem,Explosion,,,,Ampharos,Thunderbolt,Thunder Wave,Fire Punch,Seismic Toss,Magmar,Fire Blast,Thunderpunch,Cross Chop,Psychic,Kangaskhan,Fake Out,Body Slam,Earthquake,Rest,,,,,,FALSE,Focus Band,Rash,31,35,Choice Band,Gentle,31,36,Brightpowder,Bold,31,35,Lum Berry,Naughty,31,36,Leftovers,Gentle,31,35,,,,
Team Magma Grunt #2,FALSE,Mt. Chimney,Team Magma Grunt #2 - Mt. Chimney,Camerupt,Explosion,Earthquake,Overheat,Body Slam,Shiftry,Explosion,Brick Break,Giga Drain,Shadow Ball,Granbull,Thunder Wave,Double-Edge,Earthquake,Shadow Ball,Gengar,Sludge Bomb,Shadow Ball,Brick Break,Explosion,Octillery,Octazooka,Fire Blast,Ice Beam,Body Slam,,,,,,FALSE,Quick Claw,Hardy,31,36,Focus Band,Impish,31,35,Scope Lens,Hardy,31,35,Scope Lens,Hasty,31,36,Quick Claw,Naughty,31,36,,,,
Magma Admin Tabitha,FALSE,Mt. Chimney,Magma Admin Tabitha - Mt. Chimney,Dodrio,Double-Edge,HP Ground,Quick Attack,Drill Peck,Manectric,HP Water,Crunch,Overheat,Thunderbolt,Weezing,Explosion,Gunk Shot,Flamethrower,HP Grass,Aggron,Head Smash,Superpower,Earthquake,Flash Cannon,Flygon,Earthquake,Giga Drain,Signal Beam,Rock Slide,Arcanine,Overheat,Extremespeed,HP Grass,Wild Charge,FALSE,Lum Berry,Hardy,31,37,Lum Berry,Jolly,31,37,Lum Berry,Hardy,31,37,Quick Claw,Impish,31,38,Lum Berry,Hardy,31,37,Lum Berry,Brave,31,38
Magma Leader Maxie,FALSE,Mt. Chimney,Magma Leader Maxie - Mt. Chimney,Registeel,Thunder Wave,Explosion,Ancientpower,Earthquake,Crobat,Giga Drain,Poison Fang,Heat Wave,Air Slash,Claydol,Explosion,Earthquake,Psychic,Signal Beam,Alakazam,Psychic,Fire Punch,Thunderpunch,Ice Punch,Dusclops,Will-O-Wisp,Shadow Ball,Seismic Toss,Rest,Houndoom,Overheat,Crunch,HP Grass,Poison Fang,FALSE,Lum Berry,Sassy,31,38,Lum Berry,Naive,31,39,Lum Berry,Hardy,31,39,Lum Berry,Mild,31,38,Leftovers,Modest,31,38,Lum Berry,Modest,31,39
Team Magma Grunt #1  + Team Magma Grunt #2,TRUE,Jagged Pass,Team Magma Grunt #1  + Team Magma Grunt #2 - Jagged Pass,Electrode,Explosion,,,,Donphan,Earthquake,,,,Solrock,Earthquake,Ancientpower,Signal Beam,Light Screen,Gengar,Shadow Ball,Sludge Bomb,Will-O-Wisp,Brick Break,Altaria,Dragon Claw,Ice Ball,Fire Blast,Aerial Ace,Scyther,Air Slash,Signal Beam,Brick Break,Quick Attack,TRUE,Lum Berry,Hardy,31,35,Choice Band,Mild,31,36,Soft Sand,Gentle,31,35,Brightpowder,Jolly,31,36,Scope Lens,Relaxed,31,35,Focus Band,Quiet,31,35
Team Magma Grunt #3,FALSE,Jagged Pass,Team Magma Grunt #3 - Jagged Pass,Mr. Mime,Psychic,Seismic Toss,Hypnosis,Fire Punch,Clefable,Sing,Flamethrower,Psychic,Tri Attack,Meganium,Synthesis,Giga Drain,Earthquake,Ancientpower,Ninetales,Hypnosis,Flamethrower,Extrasensory,Body Slam,,,,,,,,,,,FALSE,Focus Band,Modest,31,35,Quick Claw,Naughty,31,36,Brightpowder,Modest,31,35,Leftovers,Jolly,31,36,,,,,,,,
Camper Ethan,FALSE,Jagged Pass,Camper Ethan - Jagged Pass,Kingler,Surf,Ice Beam,Mud Shot,Body Slam,Pinsir,X-Scissors,Brick Break,Rock Tomb,Body Slam,Stantler,Hypnosis,Return,Jump Kick,Psychic,,,,,,,,,,,,,,,,FALSE,Soft Sand,Sassy,31,35,Hard Stone,Gentle,31,35,Black Belt,Gentle,31,35,,,,,,,,,,,,
Picnicker Diana,FALSE,Jagged Pass,Picnicker Diana - Jagged Pass,Tangela,Sleep Powder,Giga Drain,Protect,Pain Split,Nosepass,Ancientpower,Thunder Wave,Seismic Toss,Protect,Plusle,Thunderbolt,Thunder Wave,Seismic Toss,Signal Beam,,,,,,,,,,,,,,,,FALSE,Sitrus Berry,Gentle,31,36,Sitrus Berry,Lonely,31,36,Magnet,Hasty,31,36,,,,,,,,,,,,
Triathlete Julio,FALSE,Jagged Pass,Triathlete Julio - Jagged Pass,Persian,Fake Out,Shadow Ball,Double-Edge,Water Pulse,Swalot,Sludge Bomb,Giga Drain,Shadow Ball,Brick Break,Sealeo,Ice Beam,Hydro Pump,Protect,Body Slam,,,,,,,,,,,,,,,,FALSE,Mystic Water,Sassy,31,36,Miracle Seed,Modest,31,35,Lum Berry,Timid,31,37,,,,,,,,,,,,
Beauty Shirley,FALSE,Mt. Chimney,Beauty Shirley - Mt. Chimney,Ledian,Signal Beam,Ice Punch,Thunderpunch,Giga Drain,Wigglytuff,Hyper Voice,Shadow Ball,Brick Break,Psychic,Chimecho,Recycle,Psychic,Signal Beam,Hypnosis,,,,,,,,,,,,,,,,FALSE,Silverpowder,Hardy,31,37,Silk Scarf,Jolly,31,36,Sitrus Berry,Jolly,31,36,,,,,,,,,,,,
Beauty Sheila,FALSE,Mt. Chimney,Beauty Sheila - Mt. Chimney,Clamperl,Surf,Ice Beam,Hydro Pump,,Ninetales,Hypnosis,Confuse Ray,Substitute,Flamethrower,Jumpluff,Sleep Powder,Aerial Ace,Giga Drain,Synthesis,,,,,,,,,,,,,,,,FALSE,Deepseatooth,Careful,31,36,Shell Bell,Hardy,31,36,,Lax,31,36,,,,,,,,,,,,
Expert Shelby,FALSE,Mt. Chimney,Expert Shelby - Mt. Chimney,Cloyster,Spikes,Ice Shard,Surf,Explosion,Medicham,Fake Out,Brick Break,Shadow Ball,Rock Slide,Marowak,Double-Edge,Earthquake,Ancientpower,Aerial Ace,Ursaring,Facade,Earthquake,Return,Rest,,,,,,,,,,,FALSE,Lum Berry,Sassy,31,37,Lum Berry,Impish,31,37,Thick Club,Lax,31,37,Chesto Berry,Lonely,31,37,,,,,,,,
Beauty Melissa,FALSE,Mt. Chimney,Beauty Melissa - Mt. Chimney,Camerupt,Earthquake,Flamethrower,,,Rapidash,Blaze Kick,Quick Attack,Iron Tail,Body Slam,Kecleon,Body Slam,Flamethrower,Shadow Ball,Brick Break,,,,,,,,,,,,,,,,FALSE,Soft Sand,Timid,31,36,Charcoal,Hardy,31,36,Sitrus Berry,Hardy,31,36,,,,,,,,,,,,
Hiker Sawyer,FALSE,Mt. Chimney,Hiker Sawyer - Mt. Chimney,Golbat,Sludge Bomb,Aerial Ace,Shadow Ball,,Stantler,Body Slam,Protect,Shadow Ball,,Primeape,Brick Break,Rock Tomb,Return,,,,,,,,,,,,,,,,,FALSE,,Mild,31,36,,Modest,31,36,,Impish,31,36,,,,,,,,,,,,
Kindler Jeff,FALSE,Lavaridge Gym,Kindler Jeff - Lavaridge Gym,Magmar,Fire Blast,Thunderpunch,Cross Chop,Psychic,Ninetales,Overheat,Solarbeam,Quick Attack,Extrasensory,Camerupt,Overheat,Earthquake,Explosion,Rock Slide,Torkoal,Overheat,Solarbeam,Body Slam,Attract,,,,,,,,,,,FALSE,Charcoal,Lonely,31,36,Lum Berry,Modest,31,37,Lum Berry,Lonely,31,37,Leftovers,Mild,31,38,,,,,,,,
Ruin Maniac Eli,FALSE,Lavaridge Gym,Ruin Maniac Eli - Lavaridge Gym,Exploud,Overheat,Hyper Voice,Earthquake,Ice Beam,Solrock,Overheat,Solarbeam,Ancientpower,Earthquake,Weezing,Flamethrower,Sludge Bomb,Will-O-Wisp,Thunderbolt,Camerupt,Earthquake,Heat Wave,Rock Slide,Solarbeam,,,,,,,,,,,FALSE,Lum Berry,Lax,31,37,Lum Berry,Impish,31,37,Lum Berry,Impish,31,37,Lum Berry,Sassy,31,39,,,,,,,,
Aroma Lady Colette,FALSE,Lavaridge Gym,Aroma Lady Colette - Lavaridge Gym,Bellossom,Sleep Powder,Giga Drain,HP Fire,Substitute,Blissey,Flamethrower,Solarbeam,Ice Beam,Thunderbolt,Vileplume,Sleep Powder,Sludge Bomb,Giga Drain,HP Fire,Rapidash,Heat Wave,Solarbeam,Wild Charge,Hypnosis,,,,,,,,,,,FALSE,Leftovers,Adamant,31,38,Leftovers,Adamant,31,37,Lum Berry,Naughty,31,38,Leftovers,Bold,31,39,,,,,,,,
Triathlete Geraldine,FALSE,Lavaridge Gym,Triathlete Geraldine - Lavaridge Gym,Tangela,Sleep Powder,Solarbeam,Ancientpower,HP Fire,Altaria,Flamethrower,Earthquake,Dragon Claw,Aerial Ace,Nidoqueen,Flamethrower,Earthquake,Ice Beam,Poison Fang,Magmar,Heat Wave,Cross Chop,Thunderpunch,Solarbeam,,,,,,,,,,,FALSE,Lum Berry,Hasty,31,38,Leftovers,Naive,31,37,Leftovers,Lonely,31,37,Lum Berry,Lax,31,39,,,,,,,,
Triathlete Jace,FALSE,Lavaridge Gym,Triathlete Jace - Lavaridge Gym,Dugtrio,Earthquake,Sludge Bomb,Rock Slide,Tri Attack,Seviper,Solarbeam,Flamethrower,Poison Tail,Earthquake,Dodrio,Drill Peck,Tri Attack,Quick Attack,Steel Wing,Rapidash,Overheat,Drill Run,Solarbeam,Wild Charge,,,,,,,,,,,FALSE,Lum Berry,Modest,31,37,Lum Berry,Rash,31,38,Lum Berry,Impish,31,37,Lum Berry,Calm,31,39,,,,,,,,
Beauty Danielle,FALSE,Lavaridge Gym,Beauty Danielle - Lavaridge Gym,Slowbro,Psychic,Flamethrower,Earthquake,Ice Beam,Clefable,Flamethrower,Solarbeam,Tri Attack,Ice Beam,Manectric,Overheat,Thunderbolt,Crunch,Thunder Wave,Flareon,Heat Wave,Solarbeam,Quick Attack,Double-Edge,,,,,,,,,,,FALSE,Leftovers,Hardy,31,38,Leftovers,Timid,31,38,Charcoal,Calm,31,38,Lum Berry,Impish,31,39,,,,,,,,
Pokémaniac Axle,FALSE,Lavaridge Gym,Pokémaniac Axle - Lavaridge Gym,Torkoal,Heat Wave,Solarbeam,Earthquake,Rock Slide,Tropius,Solarbeam,Earthquake,Air Slash,HP Fire,Slowking,Psychic,Earthquake,Ice Beam,Flamethrower,Nidoking,Megahorn,Fire Blast,Ice Beam,Earthquake,,,,,,,,,,,FALSE,Lum Berry,Mild,31,39,Lum Berry,Brave,31,38,Leftovers,Hardy,31,38,Lum Berry,Careful,31,38,,,,,,,,
Expert Keegan,FALSE,Lavaridge Gym,Expert Keegan - Lavaridge Gym,Electabuzz,Fire Punch,Ice Punch,Thunderbolt,Cross Chop,Octillery,Fire Blast,Ice Beam,Octazooka,Body Slam,Hariyama,Fake Out,Rock Slide,Earthquake,Force Palm,Victreebel,Gunk Shot,Weather Ball (Fire),Solarbeam,HP Rock,Houndoom,Overheat,Crunch,Pursuit,HP Ice,,,,,,FALSE,Lum Berry,Lonely,31,37,Lum Berry,Jolly,31,38,Leftovers,Lonely,31,38,Lum Berry,Gentle,31,38,Salac Berry,Impish,31,39,,,,
Leader Flannery,FALSE,Lavaridge Gym,Leader Flannery - Lavaridge Gym,Ninetales,HP Electric,Overheat,Solarbeam,Hypnosis,Charizard,Heat Wave,Earthquake,Solarbeam,Dragon Claw,Blaziken,Blaze Kick,Sky Uppercut,Thunderpunch,Solarbeam,Arcanine,Wild Charge,Heat Wave,Solarbeam,Extremespeed,Typhlosion,Solarbeam,Heat Wave,Earthquake,Wild Charge,Castform,Flamethrower,Ice Beam,Thunderbolt,Solarbeam,FALSE,Lum Berry,Hardy,31,41,Lum Berry,Lonely,31,42,Lum Berry,Relaxed,31,42,Leftovers,Careful,31,41,Lum Berry,Hardy,31,42,Lum Berry,Calm,31,42
Camper Drew,FALSE,Route 111,Camper Drew - Route 111,Donphan,Earthquake,Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Choice Band,Rash,31,40,,,,,,,,,,,,,,,,,,,,
Camper Beau,FALSE,Route 111,Camper Beau - Route 111,Castform,Weather Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Choice Band,Sassy,31,40,,,,,,,,,,,,,,,,,,,,
Picnicker Heidi,FALSE,Route 111,Picnicker Heidi - Route 111,Cacturne,Needle Arm,Brick Break,Faint Attack,Thunderpunch,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Brightpowder,Careful,31,40,,,,,,,,,,,,,,,,,,,,
Picnicker Becky,FALSE,Route 111,Picnicker Becky - Route 111,Sandslash,Earthquake,Aerial Ace,Ancientpower,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Leftovers,Brave,31,40,,,,,,,,,,,,,,,,,,,,
Ruin Maniac Dusty,FALSE,Route 111,Ruin Maniac Dusty - Route 111,Relicanth,Head Smash,Earthquake,Surf,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Shell Bell,Lax,31,40,,,,,,,,,,,,,,,,,,,,
Picnicker Celia,FALSE,Route 111,Picnicker Celia - Route 111,Sandslash,Sand-Attack,Dig,Slash,Body Slam,Octillery,Octazooka,Ice Beam,Flamethrower,Signal Beam,,,,,,,,,,,,,,,,,,,,,FALSE,,Hardy,31,40,,Hardy,31,40,,,,,,,,,,,,,,,,
Camper Branden,FALSE,Route 111,Camper Branden - Route 111,Pidgeot,Whirlwind,Quick Attack,Steel Wing,Double-Edge,Cacturne,Ingrain,Faint Attack,Spikes,Needle Arm,,,,,,,,,,,,,,,,,,,,,FALSE,,Naive,31,42,,Hardy,31,43,,,,,,,,,,,,,,,,
Triathlete Randall,FALSE,Petalburg Gym,Triathlete Randall - Petalburg Gym,Ninjask,Substitute,Baton Pass,Signal Beam,HP Rock,Granbull,Thunder Wave,Facade,Shadow Ball,Earthquake,Girafarig,Psychic,Body Slam,Earthquake,Thunder Wave,Jolteon,Thunder Wave,Thunderbolt,Bite,HP Ice,Altaria,Dragon Dance,Earthquake,Aerial Ace,Steel Wing,Linoone,Belly Drum,Extremespeed,Shadow Ball,HP Ground,FALSE,Leftovers,Hardy,31,40,Quick Claw,Lax,31,41,Quick Claw,Hardy,31,42,Lum Berry,Timid,31,40,Quick Claw,Adamant,31,40,Brightpowder,Adamant,31,42
Triathlete Mary,FALSE,Petalburg Gym,Triathlete Mary - Petalburg Gym,Primeape,Cross Chop,Rock Slide,Earthquake,HP Ghost,Fearow,Drill Peck,Drill Run,Slash,Sleep Talk,Sceptile,Leaf Blade,Dragon Claw,Brick Break,Rock Slide,Crawdaunt,Crabhammer,X-Scissors,Crunch,Body Slam,Rapidash,Blaze Kick,Drill Run,HP Ice,Wild Charge,Ursaring,Slash,Cross Chop,Rest,Sleep Talk,FALSE,Scope Lens,Brave,31,40,Scope Lens,Hardy,31,42,Scope Lens,Bold,31,40,Scope Lens,Timid,31,41,Scope Lens,Hardy,31,41,Scope Lens,Lonely,31,42
Pokéfan Parker,FALSE,Petalburg Gym,Pokéfan Parker - Petalburg Gym,Raichu,Teeter Dance,Thunderbolt,Surf,Signal Beam,Umbreon,Confuse Ray,Body Slam,Moonlight,Psychic,Tentacruel,Confuse Ray,Muddy Water,Ice Beam,Sludge Bomb,Exploud,Teeter Dance,Body Slam,Earthquake,Shadow Ball,Grumpig,Confuse Ray,Psychic,Fire Punch,Signal Beam,Stantler,Confuse Ray,Body Slam,Earthquake,Shadow Ball,FALSE,Leftovers,Brave,31,42,Leftovers,Brave,31,42,Leftovers,Hasty,31,41,Leftovers,Modest,31,43,Silverpowder,Impish,31,42,Lum Berry,Hardy,31,43
Pokéfan Alexia,FALSE,Petalburg Gym,Pokéfan Alexia - Petalburg Gym,Glalie,Spikes,Explosion,,,Shuckle,Toxic,Protect,Sandstorm,Rest,Dusclops,Toxic,Protect,Will-O-Wisp,Rest,Blissey,Toxic,Protect,Charm,Softboiled,Claydol,Toxic,Drill Run,Psychic,Protect,Clefable,Moonlight,Protect,Toxic,Seismic Toss,FALSE,Lum Berry,Hardy,31,41,Leftovers,Rash,31,42,Leftovers,Lax,31,42,Leftovers,Hardy,31,42,Leftovers,Brave,31,42,Leftovers,Naive,31,42
Pkmn Breeder George,FALSE,Petalburg Gym,Pkmn Breeder George - Petalburg Gym,Meganium,Synthesis,Giga Drain,Leech Seed,Ancientpower,Miltank,Attract,Milk Drink,Body Slam,Earthquake,Lunatone,Moonlight,Psychic,Ice Beam,Hypnosis,Porygon2,Recover,Tri Attack,Recycle,Psychic,Milotic,Recover,Ice Beam,Attract,Waterfall,Arcanine,Morning Sun,Extremespeed,Overheat,HP Grass,FALSE,Leftovers,Hardy,31,41,Lum Berry,Bold,31,42,Leftovers,Impish,31,42,Starf Berry,Gentle,31,42,Leftovers,Relaxed,31,40,Leftovers,Jolly,31,42
Cooltrainer Jody,FALSE,Petalburg Gym,Cooltrainer Jody - Petalburg Gym,Dodrio,Double-Edge,Drill Peck,Quick Attack,HP Fight,Marowak,Earthquake,Double-Edge,Ancientpower,HP Flying,Medicham,Fake Out,Hi Jump Kick,Shadow Ball,Rock Slide,Flareon,Overheat,Double-Edge,HP Fight,Quick Attack,Vaporeon,Hydro Pump,Quick Attack,Ice Beam,HP Grass,Zangoose,Crush Claw,Quick Attack,Brick Break,Shadow Ball,FALSE,Silk Scarf,Rash,31,43,Thick Club,Hasty,31,42,Lum Berry,Jolly,31,42,Lum Berry,Naive,31,42,Mystic Water,Mild,31,42,Silk Scarf,Rash,31,43
Cooltrainer Berke,FALSE,Petalburg Gym,Cooltrainer Berke - Petalburg Gym,Smeargle,Spore,Extremespeed,Substitute,Super Fang,Venomoth,Sleep Powder,Psychic,Signal Beam,Giga Drain,Azumarill,Sing,Double-Edge,HP Ground,Surf,Mr. Mime,Hypnosis,Psychic,Thunderbolt,Fire Punch,Breloom,Spore,Mach Punch,Substitute,Rock Slide,Persian,Hypnosis,Double-Edge,Shadow Ball,HP Ground,FALSE,Lum Berry,Calm,31,44,Lum Berry,Gentle,31,43,Leftovers,Rash,31,43,Lum Berry,Bold,31,43,Leftovers,Careful,31,43,Lum Berry,Adamant,31,44
Leader Norman,FALSE,Petalburg Gym,Leader Norman - Petalburg Gym,Slaking,Hyper Beam,Crush Claw,Shadow Ball,Superpower,Espeon,Psychic,Light Screen,Skill Swap,Sing,Kangaskhan,Fake Out,Crush Claw,Shadow Ball,Superpower,Swellow,Double-Edge,Sky Attack,Steel Wing,HP Ground,Tauros,Body Slam,Iron Tail,Quick Attack,Earth Power,Snorlax,Curse,Snore,Rest,Stockpile,TRUE,Lum Berry,Hardy,31,48,Lum Berry,Timid,31,48,Lum Berry,Jolly,31,48,Lum Berry,Hardy,31,48,Lum Berry,Hardy,31,48,Leftovers,Relaxed,31,48
SwimmerF Isabelle,FALSE,Route 103,SwimmerF Isabelle - Route 103,Qwilfish,Sludge Bomb,Hydro Pump,Toxic,Gunk Shot,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Mystic Water,Lax,31,43,,,,,,,,,,,,,,,,,,,,
SwimmerM Pete,FALSE,Route 103,SwimmerM Pete - Route 103,Raichu,Seismic Toss,Signal Beam,Quick Attack,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Silverpowder,Relaxed,31,43,,,,,,,,,,,,,,,,,,,,
Battle Girl Cyndy,FALSE,Route 115,Battle Girl Cyndy - Route 115,Medicham,Bulk Up,Recover,Brick Break,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Black Belt,Modest,31,46,,,,,,,,,,,,,,,,,,,,
Ninja Boy Jaiden,FALSE,Route 115,Ninja Boy Jaiden - Route 115,Starmie,Psychic,Recover,Hydro Pump,Confuse Ray,Swalot,Explosion,Ice Beam,Shadow Ball,Gunk Shot,,,,,,,,,,,,,,,,,,,,,FALSE,,Hardy,31,43,,Brave,31,43,,,,,,,,,,,,,,,,
Triathlete Kyra,FALSE,Route 115,Triathlete Kyra - Route 115,Rapidash,Flamethrower,Drill Run,Heat Wave,Megahorn,Girafarig,Body Slam,Crunch,Psychic,Earthquake,,,,,,,,,,,,,,,,,,,,,FALSE,,Careful,31,43,,Quiet,31,43,,,,,,,,,,,,,,,,
Black Belt Koichi,FALSE,Route 115,Black Belt Koichi - Route 115,Machop,Mega Kick,Facade,Cross Chop,Rock Slide,Hitmonchan,Body Slam,Earthquake,Sky Uppercut,Shadow Punch,,,,,,,,,,,,,,,,,,,,,FALSE,Everstone,Rash,31,55,Leftovers,Timid,31,43,,,,,,,,,,,,,,,,
Battle Girl Helene  + Psychic Alix,TRUE,Route 115,Battle Girl Helene  + Psychic Alix - Route 115,Wobbuffet,Counter,Mirror Coat,Safeguard,Destiny Bond,Hariyama,Knock Off,Cross Chop,Shadow Punch,Rock Slide,,,,,,Grumpig,Magic Coat,Psychic,Fire Punch,Signal Beam,Exeggutor,Ancientpower,Sleep Powder,Explosion,Stun Spore,,,,,,TRUE,,Naughty,31,44,,Adamant,31,44,,,,,,Hardy,31,43,,Lax,31,43,,,,
Expert Timothy,FALSE,Route 115,Expert Timothy - Route 115,Kingdra,Dragonbreath,Ice Beam,Signal Beam,Hydro Pump,Miltank,Milk Drink,Brick Break,Shadow Ball,Body Slam,Ampharos,Thunderbolt,Fire Punch,HP Water,Thunder Wave,,,,,,,,,,,,,,,,FALSE,Quick Claw,Naughty,31,46,Leftovers,Hardy,31,46,Quick Claw,Naive,31,46,,,,,,,,,,,,
Ruin Maniac Foster,FALSE,Route 105,Ruin Maniac Foster - Route 105,Relicanth,Head Smash,Earthquake,Muddy Water,Yawn,Glalie,Hail,Protect,Earthquake,Ice Beam,,,,,,,,,,,,,,,,,,,,,FALSE,Quick Claw,Naive,31,44,Quick Claw,Bold,31,43,,,,,,,,,,,,,,,,
Bird Keeper Josue  + Ruin Maniac Andres,TRUE,Route 105,Bird Keeper Josue  + Ruin Maniac Andres - Route 105,Fearow,Steel Wing,Tri Attack,Drill Peck,Drill Run,Xatu,Psychic,Wish,Confuse Ray,Drill Peck,,,,,,Rhydon,Rock Slide,Double-Edge,Earthquake,Megahorn,Marowak,Body Slam,Rock Slide,Earthquake,Double-Edge,,,,,,TRUE,Scope Lens,Modest,31,66,Quick Claw,Hardy,31,66,,,,,Quick Claw,Careful,31,66,Thick Club,Naive,31,66,,,,
Team Aqua Grunt,FALSE,Route 108,Team Aqua Grunt - Route 108,Starmie,Psychic,Recover,Hydro Pump,Confuse Ray,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Lum Berry,Brave,31,45,,,,,,,,,,,,,,,,,,,,
Cooltrainer Carolina,FALSE,Route 108,Cooltrainer Carolina - Route 108,Kangaskhan,Body Slam,Superpower,Crush Claw,Shadow Ball,Torkoal,Flamethrower,Explosion,Earth Power,Superpower,Vileplume,Sleep Powder,Moonlight,Sludge Bomb,Petal Dance,,,,,,,,,,,,,,,,FALSE,Quick Claw,Hardy,31,45,Quick Claw,Careful,31,45,Quick Claw,Careful,31,45,,,,,,,,,,,,
Sailor Cory,FALSE,Route 108,Sailor Cory - Route 108,Seaking,Double-Edge,Drill Run,Waterfall,Megahorn,Hitmontop,Seismic Toss,Revenge,Rock Slide,Detect,Raticate,Shadow Ball,Super Fang,Facade,Quick Attack,,,,,,,,,,,,,,,,FALSE,Quick Claw,Hardy,31,45,Quick Claw,Adamant,31,43,Quick Claw,Careful,31,43,,,,,,,,,,,,
Interviewers Gabby & Ty,FALSE,Route 118,Interviewers Gabby & Ty - Route 118,Xatu,Psychic,Drill Peck,Giga Drain,Quick Attack,Exploud,Earthquake,Hyper Voice,Brick Break,Teeter Dance,,,,,,,,,,,,,,,,,,,,,TRUE,Lum Berry,Hardy,31,45,Leftovers,Bold,31,45,,,,,,,,,,,,,,,,
